Argentina,ARG,Envelope Ready,,,,
Australia,AUS,Envelope Ready,,,,
Austria,AUT,Envelope Ready,,HRV,,
Azerbaijan,AZE,Envelope Ready,,RUS,,
Bangladesh,BGD,Envelope Ready,,,,
Belarus,BLR,Envelope Ready,,,,
Belgium,BEL,Envelope Ready,,,,
Bolivia,BOL,Envelope Ready,,,,
Bosnia and Herzegovina,BIH,Envelope Ready,,,,
Brazil,BRA,Envelope Ready,,,,
Bulgaria,BGR,Envelope Ready,,,,
Canada,CAN,Envelope Ready,,,,
Chile,CHL,Envelope Ready,,,,
China,CHN,Envelope Ready,,,,
Colombia,COL,Envelope Ready,,,,
Croatia,HRV,Envelope Ready,,,,
Cuba,CUB,Envelope Ready,,,,
Cyprus,CYP,Envelope Ready,,,,
Czech Republic,CZE,Envelope Ready,,,,
Denmark,DNK,Envelope Ready,,,,
Dominican Republic,DOM,Envelope Ready,,,,
Egypt,EGY,Envelope Ready,,,,
El Salvador,SLV,Envelope Ready,,,,
Estonia,EST,Envelope Ready,,,,
Finland,FIN,Envelope Ready,,,,
France,FRA,Envelope Ready,,,,
Georgia,GEO,Envelope Ready,,,,
Germany,DEU,Envelope Ready,,DEU,,
Greece,GRC,Envelope Ready,,,,
Hong Kong,HKG,Envelope Ready,,CHN,,
Hungary,HUN,Envelope Ready,,,,
Iceland,ISL,Envelope Ready,,,,
India,IND,Envelope Ready,,,,
Indonesia,IDN,Envelope Ready,,,,
Iran,IRN,Envelope Ready,,,,
Ireland,IRL,Envelope Ready,,,,
Israel,ISR,Envelope Ready,,,,
Italy,ITA,Envelope Ready,,,,
Japan,JPN,Envelope Ready,,,,
Jordan,JOR,Envelope Ready,,,,
Kazakhstan,KAZ,Envelope Ready,,,,
Korea,KOR,Envelope Ready,,,,
Kyrgyzstan,KGZ,Envelope Ready,,,,
Latvia,LVA,Envelope Ready,,,,
Lithuania,LTU,Envelope Ready,,,,
Luxembourg,LUX,Envelope Ready,,,,
Macau,MAC,Envelope Ready,,,,
Macedonia,MKD,Envelope Ready,,,,
Malaysia,MYS,Envelope Ready,,,,
Mexico,MEX,Envelope Ready,,,,
Moldova,MDA,Envelope Ready,,,,
Mongolia,MNG,Envelope Ready,,USA,,
Montenegro,MNE,Envelope Ready,,,,
Morocco,MAR,Envelope Ready,,,,
Netherlands,NLD,Envelope Ready,,,,
New Zealand,NZL,Envelope Ready,,,,
Nigeria,NGA,Envelope Ready,,,,
Norway,NOR,Envelope Ready,,,,
Palestine,PSE,Envelope Ready,,,,
Philippines,PHL,Envelope Ready,,,,
Poland,POL,Envelope Ready,,,,
Portugal,PRT,Envelope Ready,,,,
Romania,ROU,Envelope Ready,,,,
Russia,RUS,Envelope Ready,,,,
Saudi Arabia,SAU,Envelope Ready,,,,
Serbia,SRB,Envelope Ready,,,,
Singapore,SGP,Envelope Ready,,,,
Slovakia,SVK,Envelope Ready,,,,
Slovenia,SVN,Envelope Ready,,,,
South Africa,ZAF,Envelope Ready,,,,
Spain,ESP,Envelope Ready,,,,
Sri Lanka,LKA,Envelope Ready,,,,
Sweden,SWE,Envelope Ready,,,,
Switzerland,CHE,Envelope Ready,,CHE,,
Syria,SYR,Envelope Ready,,,,
Taiwan,TWN,Envelope Ready,,,,
Tajikistan,TJK,Envelope Ready,,,,
Thailand,THA,Envelope Ready,,,,
Tunisia,TUN,Envelope Ready,,,,
Turkey,TUR,Envelope Ready,,,,
Turkmenistan,TKM,Envelope Ready,,,,
Ukraine,UKR,Envelope Ready,,,,
United Kingdom,GBR,Envelope Ready,,,,
USA,USA,Envelope Ready,,,,
Uzbekistan,UZB,Envelope Ready,,,,
Venezuela,VEN,Envelope Ready,,,,
Vietnam,VNM,Envelope Ready,,,,
